#...i    step           time                          C_v                     C_i                    C_2i                   rho_N                     C_I                     d_J
   126     1250  1.249999999999973E+000     1.539816310504270E-001  1.602076055652809E-001  3.308616281884562E-001  6.690280785881478E-001  3.052944905951534E-002  3.367169052106112E+000
   127     1260  1.259999999999972E+000     1.542628668047181E-001  1.602700873964042E-001  3.305211978936886E-001  6.655824704633637E-001  3.046536557978100E-002  3.369955081978063E+000
   128     1270  1.269999999999971E+000     1.545388607987054E-001  1.603319892369780E-001  3.301912328665295E-001  6.621671318692209E-001  3.040389243453583E-002  3.372623990671710E+000
   129     1280  1.279999999999970E+000     1.548097148158675E-001  1.603933145104185E-001  3.298714034173698E-001  6.587819108530670E-001  3.034489409919218E-002  3.375182156283843E+000
   130     1290  1.289999999999969E+000     1.550755292405277E-001  1.604540667234489E-001  3.295613906959048E-001  6.554266502437911E-001  3.028824369020666E-002  3.377635541335867E+000
   131     1300  1.299999999999968E+000     1.553364030258270E-001  1.605142494556021E-001  3.292608863133851E-001  6.521011880680256E-001  3.023382236545149E-002  3.379989720128387E+000
   132     1310  1.309999999999967E+000     1.555924336666332E-001  1.605738663499893E-001  3.289695919788894E-001  6.488053579413022E-001  3.018151876480751E-002  3.382249904648934E+000
   133     1320  1.319999999999965E+000     1.558437171770272E-001  1.606329211051912E-001  3.286872191490843E-001  6.455389894354361E-001  3.013122848869078E-002  3.384420969046146E+000
   134     1330  1.329999999999964E+000     1.560903480720291E-001  1.606914174681415E-001  3.284134886909538E-001  6.423019084233955E-001  3.008285361229974E-002  3.386507472695364E+000
   135     1340  1.339999999999963E+000     1.563324193532418E-001  1.607493592278833E-001  3.281481305569959E-001  6.390939374028627E-001  3.003630223344864E-002  3.388513681890136E+000
   136     1350  1.349999999999962E+000     1.565700224981093E-001  1.608067502100952E-001  3.278908834724085E-001  6.359148957996646E-001  2.999148805193703E-002  3.390443590201419E+000
   137     1360  1.359999999999961E+000     1.568032474525021E-001  1.608635942722888E-001  3.276414946337947E-001  6.327646002521992E-001  2.994832997849046E-002  3.392300937552020E+000
   138     1370  1.369999999999960E+000     1.570321826263594E-001  1.609198952995940E-001  3.273997194189437E-001  6.296428648779490E-001  2.990675177139575E-002  3.394089228057873E+000
   139     1380  1.379999999999959E+000     1.572569148921355E-001  1.609756572010548E-001  3.271653211072555E-001  6.265495015231211E-001  2.986668169904232E-002  3.395811746690670E+000
   140     1390  1.389999999999958E+000     1.574775295858099E-001  1.610308839063679E-001  3.269380706103935E-001  6.234843199964101E-001  2.982805222666933E-002  3.397471574818171E+000
   141     1400  1.399999999999957E+000     1.576941105102401E-001  1.610855793630037E-001  3.267177462127672E-001  6.204471282878325E-001  2.979079972570605E-002  3.399071604679366E+000
   142     1410  1.409999999999956E+000     1.579067399406458E-001  1.611397475336570E-001  3.265041333214646E-001  6.174377327735395E-001  2.975486420417888E-002  3.400614552851839E+000
   143     1420  1.419999999999954E+000     1.581154986320306E-001  1.611933923939782E-001  3.262970242252589E-001  6.144559384074642E-001  2.972018905674328E-002  3.402102972768175E+000
   144     1430  1.429999999999953E+000     1.583204658283584E-001  1.612465179305472E-001  3.260962178623456E-001  6.115015489006165E-001  2.968672083298055E-002  3.403539266337324E+000
   145     1440  1.439999999999952E+000     1.585217192733147E-001  1.612991281390498E-001  3.259015195964616E-001  6.085743668887998E-001  2.965440902267960E-002  3.404925694725433E+000
   146     1450  1.449999999999951E+000     1.587193352224963E-001  1.613512270226289E-001  3.257127410010666E-001  6.056741940894714E-001  2.962320585690074E-002  3.406264388348973E+000
   147     1460  1.459999999999950E+000     1.589133884568795E-001  1.614028185903798E-001  3.255296996512707E-001  6.028008314484401E-001  2.959306612369264E-002  3.407557356131145E+000
   148     1470  1.469999999999949E+000     1.591039522974353E-001  1.614539068559696E-001  3.253522189232097E-001  5.999540792770413E-001  2.956394699740459E-002  3.408806494070372E+000
   149     1480  1.479999999999948E+000     1.592910986207609E-001  1.615044958363565E-001  3.251801278005798E-001  5.971337373804039E-001  2.953580788060435E-002  3.410013593167555E+000
   150     1490  1.489999999999947E+000     1.594748978756143E-001  1.615545895505955E-001  3.250132606880555E-001  5.943396051773793E-001  2.950861025767643E-002  3.411180346756499E+000
   151     1500  1.499999999999946E+000     1.596554191002429E-001  1.616041920187133E-001  3.248514572313261E-001  5.915714818126685E-001  2.948231755923741E-002  3.412308357279562E+000
   152     1510  1.509999999999944E+000     1.598327299404059E-001  1.616533072606412E-001  3.246945621434973E-001  5.888291662616512E-001  2.945689503656320E-002  3.413399142548347E+000
   153     1520  1.519999999999943E+000     1.600068966680000E-001  1.617019392951950E-001  3.245424250376139E-001  5.861124574283940E-001  2.943230964527840E-002  3.414454141526885E+000
